Province,Vegetation_Type,Fire_Seasonality,Land_Use,Temperature,Oxygen,Humidity,Drought_Index
Manitoba,Wetland,Spring,Agricultural,28.17690939,20.811864,53.1905789,692.5925023
Newfoundland and Labrador,Shrubland,Winter,Agricultural,9.564110022,19.04831214,91.79760612,682.7537698
Nova Scotia,Shrubland,Summer,Agricultural,12.94,20.81205279,25.38383286,657.0405182
Alberta,Forest,Spring,Industrial,0.924599169,19.99,53.4662516,162.329351
Ontario,Forest,Winter,Industrial,-7.157610726,20.41811201,48.34068954,394.28
Saskatchewan,Grassland,Spring,Industrial,12.94,19.44924661,56.34624886,730.2751231
Saskatchewan,Shrubland,Fall,Industrial,25.91637678,20.55605584,28.6178959,793.969925
Prince Edward Island,Forest,Summer,Commercial,28.62080709,19.87077599,59.8220244,459.0536018
Prince Edward Island,Grassland,Winter,Industrial,-0.112327347,19.98123749,14.71609646,37.18047115
Quebec,Wetland,Fall,Industrial,3.439721573,19.13733109,16.82248344,189.9244302
New Brunswick,Forest,Summer,Residential,13.67826417,20.35927029,34.71934525,491.1598014
Ontario,Shrubland,Summer,Agricultural,25.36344803,20.60368442,59.44596184,43.46198741
Saskatchewan,Forest,Summer,Agricultural,10.180076,19.14713659,84.01160141,716.7140586
Nova Scotia,Shrubland,Fall,Industrial,-0.073058093,20.26535807,96.92877814,458.2766634
Ontario,Grassland,Spring,Agricultural,32.61414183,19.46888895,14.36197238,305.6293688
Nova Scotia,Shrubland,Winter,Industrial,3.047274991,20.79008472,37.84466432,394.28
Saskatchewan,Grassland,Fall,Residential,14.431075,20.46729312,80.22730622,658.9195751
Alberta,Shrubland,Winter,Residential,33.50683951,19.02471964,14.85336486,557.7375316
Ontario,Wetland,Fall,Industrial,26.67136895,20.19391437,17.70530423,181.9458106
Newfoundland and Labrador,Wetland,Fall,Industrial,-9.830908414,19.99,82.81406922,738.4961606
Manitoba,Wetland,Winter,Industrial,-1.570256382,20.59827446,57.02954978,343.5005169
Manitoba,Forest,Spring,Agricultural,5.728838624,20.71535279,13.6027256,652.0688672
Nova Scotia,Shrubland,Fall,Commercial,33.76481728,20.75844029,24.35895082,303.313022
Newfoundland and Labrador,Grassland,Summer,Industrial,-6.34388214,20.4532348,82.12639448,632.1548459
Saskatchewan,Shrubland,Fall,Agricultural,0.693805878,19.72265785,56.07,500.6186775
Ontario,Forest,Fall,Agricultural,0.004204492,20.15907246,33.60923858,796.0199645
Prince Edward Island,Forest,Spring,Commercial,19.69553243,19.99,14.56286777,394.28
New Brunswick,Forest,Winter,Agricultural,6.93732988,20.00887203,21.06118747,523.4728698
Quebec,Wetland,Summer,Residential,9.800388224,20.1525784,16.71146984,417.2579946
Quebec,Forest,Fall,Commercial,-2.706081605,20.70171741,85.99824042,359.8327656
Nova Scotia,Wetland,Fall,Commercial,26.31543344,20.99375073,25.52311089,503.2498476
Quebec,Grassland,Summer,Agricultural,4.39792194,20.69000768,56.07,705.1068836
British Columbia,Forest,Fall,Industrial,-2.922339482,20.63509047,61.40342309,257.0622921
Alberta,Grassland,Winter,Industrial,12.94,20.90507728,63.37910551,614.9386687
Manitoba,Forest,Spring,Industrial,12.94,20.94641729,20.88492551,319.7594971
New Brunswick,Shrubland,Spring,Commercial,20.26947652,19.99,61.37480449,408.5114794
Saskatchewan,Shrubland,Spring,Residential,-9.479484487,20.80656745,94.65598455,394.28
Saskatchewan,Forest,Fall,Commercial,27.9633722,20.54596483,10.62913757,646.7975901
Saskatchewan,Forest,Spring,Residential,12.94,19.6984387,38.31180114,655.743692
Manitoba,Grassland,Summer,Residential,-5.523541286,19.09555597,97.485227,664.0204328
Saskatchewan,Grassland,Spring,Industrial,14.14110346,19.53244154,95.09858343,394.28
Newfoundland and Labrador,Shrubland,Spring,Agricultural,19.39044493,19.05537944,43.69980598,63.71956546
Ontario,Forest,Spring,Industrial,-0.126263737,19.75381256,31.75678894,569.6288394
Newfoundland and Labrador,Wetland,Fall,Industrial,32.91166415,20.6903262,43.40939834,484.1113735
Manitoba,Shrubland,Fall,Commercial,-9.475988689,19.21183854,42.90699688,718.9891882
New Brunswick,Wetland,Winter,Agricultural,20.0050807,19.22813141,20.64612482,631.8916157
Prince Edward Island,Shrubland,Fall,Agricultural,-9.124264918,20.47978246,41.34850363,311.8673101
Nova Scotia,Wetland,Fall,Agricultural,-4.249241284,19.95054934,55.09733364,755.0934308
Quebec,Forest,Spring,Commercial,12.94,19.21366532,56.07,719.6754901
Saskatchewan,Grassland,Fall,Agricultural,34.05489299,19.99,87.49065021,509.9706088
Saskatchewan,Wetland,Summer,Agricultural,12.69451967,20.96644014,45.66082182,428.9989264
Manitoba,Grassland,Fall,Industrial,-8.234201219,20.37034668,88.41534245,394.28
Quebec,Grassland,Fall,Agricultural,0.279469237,20.12597807,87.7857157,161.0514507
Newfoundland and Labrador,Forest,Winter,Agricultural,-7.403767282,19.21666975,79.5687698,493.5261152
British Columbia,Wetland,Fall,Residential,23.51948137,19.27677293,68.34189736,12.14696613
Alberta,Wetland,Fall,Agricultural,33.18491579,19.79117658,64.99921233,413.7814394
British Columbia,Grassland,Fall,Industrial,-3.807828869,19.99,57.20537688,394.28
Prince Edward Island,Grassland,Fall,Agricultural,-4.0475498,19.99,41.76385525,268.9002825
Manitoba,Forest,Fall,Residential,29.79242495,19.33081945,80.47038749,458.5622101
Manitoba,Grassland,Spring,Residential,9.523897154,19.46753474,35.38454274,492.101371
Saskatchewan,Forest,Fall,Industrial,-5.203366704,20.49690492,67.2883547,120.0884085
Prince Edward Island,Forest,Spring,Agricultural,-0.618412785,20.45877985,62.08605836,104.9071981
British Columbia,Forest,Spring,Industrial,20.03257378,19.72175579,82.92459111,59.15291689
British Columbia,Shrubland,Winter,Agricultural,-6.79925358,19.99,13.59289923,130.5902192
Alberta,Forest,Summer,Commercial,12.94,20.63588781,98.52052267,548.2798495
Saskatchewan,Forest,Winter,Industrial,24.38855649,19.33592661,11.4910493,191.6810909
Ontario,Wetland,Fall,Commercial,29.25980422,19.26954088,60.23319973,163.6323861
Nova Scotia,Forest,Spring,Agricultural,27.92380522,20.60240811,56.07,610.1737209
Newfoundland and Labrador,Shrubland,Fall,Residential,13.47999009,19.99,94.46398068,487.7065618
Nova Scotia,Forest,Summer,Agricultural,-7.625344015,19.99,96.42600309,212.3297987
Saskatchewan,Grassland,Winter,Industrial,4.35890048,19.93705083,91.16117897,752.4376023
Nova Scotia,Forest,Winter,Residential,6.925855936,20.56995221,67.87738141,394.28
Nova Scotia,Shrubland,Fall,Agricultural,21.02267701,19.99,64.61202721,101.3687153
Nova Scotia,Grassland,Fall,Industrial,33.72002555,20.17164142,14.7429946,679.0005285
Saskatchewan,Shrubland,Winter,Agricultural,14.35813342,20.51821905,57.55587649,733.2246837
Manitoba,Forest,Winter,Industrial,-6.656330734,19.99,32.27311308,394.28
Ontario,Forest,Summer,Agricultural,4.094073782,20.48766862,23.92067185,149.0428261
British Columbia,Grassland,Summer,Agricultural,33.91502361,20.214736,51.20118218,394.28
Alberta,Shrubland,Summer,Agricultural,12.94,20.67700712,85.13849406,38.43285384
Ontario,Forest,Winter,Industrial,12.94,19.99,99.11127374,364.2267934
Nova Scotia,Forest,Summer,Industrial,14.69828383,20.13063089,29.95129399,590.9718941
Saskatchewan,Forest,Spring,Commercial,6.56992762,20.8056035,72.04215014,536.6550792
Ontario,Shrubland,Fall,Industrial,7.561264849,19.99,47.36424704,198.0793934
Nova Scotia,Shrubland,Winter,Commercial,0.056236845,19.07660821,91.02620853,268.9834754
New Brunswick,Wetland,Winter,Commercial,19.69128858,19.09188974,56.07,394.28
Manitoba,Grassland,Summer,Commercial,28.18259041,20.89712003,13.18835472,394.28
Newfoundland and Labrador,Shrubland,Fall,Industrial,5.400874702,19.34891637,90.01432938,108.4570252
Saskatchewan,Forest,Spring,Agricultural,7.734852911,20.0972325,22.95335657,409.2477328
British Columbia,Grassland,Summer,Industrial,-6.786401746,20.35220382,55.22400737,480.566841
Newfoundland and Labrador,Wetland,Spring,Industrial,-3.932337347,20.31792817,56.07,779.417906
Saskatchewan,Forest,Spring,Commercial,31.32767187,19.93013364,65.64320787,178.3315282
New Brunswick,Wetland,Fall,Industrial,28.70967305,20.90137372,23.6176461,279.9761191
Alberta,Grassland,Fall,Industrial,29.74122033,20.2387626,32.17626072,11.0640053
